"text","label","source","annotator_notes"
"The case that the 2016 Cleveland Cavaliers comeback is the greatest team performance in NBA Finals history — not because they came back from 3-1 but because of how they did it: specific lineup and defensive adjustment data from games 5-7.","analysis","top","Cites specific lineup/defensive adjustment data from specific games — verifiable methodology"
"How Ben Simmons's lack of a jump shot changes his team's offensive geometry: a spacing study showing the defensive sag effect creates open catch-and-shoot opportunities only in specific configurations. The tradeoff is measurable.","analysis","top","Spacing study with specific defensive mechanism (sagging), conditional opportunity analysis, measurable tradeoff framing"
"Tracking how NBA teams use their final two timeouts in regulation: which coaches have the highest win rates in last-possession scenarios, and what play types produce the best shot quality?","analysis","top","Coaching decision data with specific game-state (final two timeouts), shot quality as outcome variable"
"The statistical case for the Clutch Player of the Year being won by the wrong player three out of the last five years: a clutch-time efficiency comparison that shows the award underweights defensive clutch plays.","analysis","top","Historical award analysis with a methodological critique (defensive clutch underweighted), 3/5 year framing"
"How international basketball development models compare: European academy systems vs. US high school to college pipeline. International players have shown higher peak efficiency rates and longer career spans in data from 2010-2024.","analysis","top","Cross-system development comparison with two specific outcomes (peak efficiency, career span), defined time window"
"The age curve for NBA three-point shooting: shooters improve through age 28 then plateau rather than decline until age 32. This challenges the conventional wisdom about shooter 'decline' in the late career.","analysis","top","Age-specific shooting analysis, challenges a specific conventional belief with plateau finding"
"Analyzing the impact of altitude on NBA game outcomes: Denver Nuggets home games show a measurable opponent VO2 decline proxy — visiting teams average 2.4 fewer points in the fourth quarter at altitude compared to Denver's road games.","analysis","top","Environmental factor analysis with specific measurable difference (2.4 points), 4th quarter isolated, home/road comparison"
"The real role of the draft in team building: teams that relied primarily on free agency vs. draft-and-develop since 2010. Championship probability is significantly higher for teams with a drafted franchise player as the core.","analysis","top","Team building strategy comparison, championship probability as outcome, specific strategy buckets defined"
"Decoding the Warriors off-ball movement system: how many screens per possession, average cutter frequency, and the resulting shot quality advantage over league average. The dribble-handoff is the linchpin.","analysis","top","System decoding with specific metrics (screens per possession, cutter frequency), shot quality comparison"
"Why Joel Embiid's case for greatest big man of his generation depends entirely on how you weight availability. His per-75-possession numbers are the best in NBA history for a center. His per-season numbers are impacted by injury.","analysis","top","Explicit framing of availability vs. efficiency tradeoff, per-75 cited as measurement unit, historical positional context"
"A decade of NBA referee assignment data: which officials call the most fouls, allow the most physical play, and how consistent are their patterns across 10 seasons? The variation is larger than fans assume.","analysis","top","Longitudinal referee data with three specific dimensions, frames the finding as surprising"
"How Steph Curry's shooting changed after his ankle surgeries: his shot release speed increased and his movement shooting percentage improved while catch-and-shoot efficiency stayed flat. The post-surgery adaptation is remarkable.","analysis","top","Before/after surgical comparison with specific sub-skills measured (release speed, movement %, catch-and-shoot %)"
"The case for the 1986 Celtics as the best team never to repeat: roster construction, point differential, and opponent quality metrics all put them ahead of teams that are more historically celebrated.","analysis","top","Historical team comparison using point differential and opponent quality metrics, defined team (1986 Celtics)"
"How the NBA's 2023 arena-or-bust CBA negotiations changed player movement: comparing the number of trades, buyouts, and free agency total years committed in the two years before and after the new CBA.","analysis","top","Pre/post CBA player movement analysis with three specific transaction types tracked, two-year comparison window"
"Valuing the backup point guard: how much do teams win above replacement from their 10th and 11th man point guard? Historical data shows bench depth at the position is undervalued in the market by roughly 15-20% vs. observed wins produced.","analysis","top","Roster depth value analysis with specific market efficiency gap (15-20%), specific roster positions defined"
"The free throw rate paradox: players who draw the most fouls tend to shoot the fewest open threes, suggesting teams scheme specifically to contain their primary scoring threat at the cost of perimeter spacing.","analysis","top","Cross-metric relationship analysis (FT rate vs. open 3PT rate) with a specific causal mechanism proposed"
"Breaking down why the 2018 Warriors offense may have been the most efficient in NBA history using relative offensive rating and opponent adjustments. Their regular season ORTG of 114.5 was 7.5 points above league average.","analysis","top","Team offensive efficiency claim with specific ORTG value cited, opponent-adjusted framing, relative comparison stated"
"How player option years affect team planning: teams with multiple players in option years during the same summer show a 23% higher rate of roster turnover the following season, making it harder to sustain continuity.","analysis","top","Contract structure analysis with specific percentage finding (23% higher turnover), continuity as outcome"
"Comparing the best shooters by decade: Rick Barry (70s), Larry Bird (80s), Reggie Miller (90s), Ray Allen (00s), Steph Curry (10s). Adjusted TS% and shot difficulty scores put Curry's decade above all others.","analysis","top","Decade-by-decade shooting comparison with adjusted TS% and shot difficulty score, five players named explicitly"
"The 'franchise player curse' in small markets: teams that build around one star for 7+ years without a championship contention window lose that player in 80% of cases via trade or free agency. Loyalty has a floor.","analysis","top","Small market retention analysis with specific duration threshold (7+ years) and specific departure rate (80%)"
"Why team defensive rating matters more than individual blocks or steals for championship prediction: regression analysis of defensive metrics shows DRTG is 2.3x more predictive of Finals appearances than DPOY-level individual stats.","analysis","top","Regression analysis result cited, specific predictive multiplier (2.3x), individual vs. team defensive distinction"
"Historical analysis of which college basketball programs produce the most impactful NBA players by Win Shares: Kentucky leads raw numbers but Duke leads in per-draft-pick efficiency. The talent pipeline quality differs from talent pipeline volume.","analysis","top","College-to-NBA analysis with Win Shares as metric, distinguishes volume vs. per-pick efficiency, two programs named"
"How rim protection affects team defensive rating vs. how perimeter defense does: positional defensive attribution analysis across 10 seasons shows rim protectors add ~2 points of DRTG per 100 possessions vs. ~1.5 for elite perimeter defenders.","analysis","top","Positional defensive attribution with specific DRTG values per position type, 10-season scope"
"I tracked every instance of a superstar player changing teams in the last 20 years and measured the impact on both teams two years out. The team losing the star improved in 64% of cases — the asset return and culture reset matters more than assumed.","analysis","top","Longitudinal trade study (20 years), specific outcome rate (64% improvement), defined time horizon (2 years out)"
"The analytics revolution's blind spot: teams that over-index on three-pointers and paint touches are underweighting the mid-range's psychological impact on defense. Secondary data from eye-tracking studies shows mid-range threats still draw defensive attention.","analysis","top","Analytics critique using secondary data source (eye-tracking), specific mechanism proposed (defensive attention)"
"Why the 2001 Allen Iverson MVP season was more valuable than his critics admit: his PER was 31.1, his usage was among the highest ever recorded, and Philadelphia's win total without him in the lineup was 19 games worse. The gap was real.","analysis","top","Specific PER cited (31.1), usage context, on/off performance gap quantified (19 wins), historical validation"
"The ownership structure's effect on team performance: publicly-owned franchises vs. private investment groups vs. single owners — a 15-year NBA comparison showing single-owner teams have higher payroll efficiency but lower championship probability.","analysis","top","Ownership type comparison with specific metrics (payroll efficiency, championship probability), 15-year window"
"Mapping the career trajectories of NBA players drafted out of one-and-done programs vs. players who stayed 3-4 years in college: multi-year players show lower bust rates (32% vs. 51%) but lower all-star ceilings, suggesting the draft model optimizes for upside at the cost of floor.","analysis","top","One-and-done vs. multi-year college comparison with specific bust rates (32% vs. 51%), frames the tradeoff explicitly"
